date,Risk_Free_Return
1970-01-01,
1970-01-02,0.0003025061660482109
1970-01-05,0.00030213833454539873
1970-01-06,0.00030287396360417773
1970-01-07,0.000301770469089524
1970-01-08,0.00030213833454539873
1970-01-09,0.0003014025696739253
1970-01-12,0.00029808994572189107
1970-01-13,0.0002988263223728804
1970-01-14,0.0003006666689395754
1970-01-15,0.0002995625629849119
1970-01-16,0.00029808994572189107
1970-01-19,0.00029772170636599427
1970-01-20,0.0002988263223728804
1970-01-21,0.0002991944596806295
1970-01-22,0.0003006666689395754
1970-01-23,0.0003002986676081676
1970-01-26,0.00030103463629282956
1970-01-27,0.00030213833454539873
1970-01-28,0.00030213833454539873
1970-01-29,0.00030213833454539873
1970-01-30,0.0003002986676081676
1970-02-02,0.00029514307771871806
1970-02-03,0.00029440602011598926
1970-02-04,0.00029293149583442535
1970-02-05,0.0002892427964926725
1970-02-06,0.0002840728747468546
1970-02-09,0.0002796361688766069
1970-02-10,0.00027889623744248304
1970-02-11,0.00027778608263262505
1970-02-12,
1970-02-13,0.0002666674920761558
1970-02-16,0.0002622113553960581
1970-02-17,0.0002599814170984871
1970-02-18,0.0002599814170984871
1970-02-19,0.0002607248685178032
1970-02-20,0.0002610965422227274
1970-02-23,
1970-02-24,0.000264068684602492
1970-02-25,0.0002644400465896535
1970-02-26,0.000264068684602492
1970-02-27,0.00026295439095846973
1970-03-02,0.0002636972880059041
1970-03-03,0.00026555392495897223
1970-03-04,0.00026592514857304295
1970-03-05,0.000264068684602492
1970-03-06,0.00026295439095846973
1970-03-09,0.00026332585679345044
1970-03-10,0.00025775023029805944
1970-03-11,0.0002581221815258772
1970-03-12,0.0002592378269568041
1970-03-13,0.0002599814170984871
1970-03-16,0.0002618397856553045
1970-03-17,0.0002614681812662667
1970-03-18,0.0002592378269568041
1970-03-19,0.0002555177935927855
1970-03-20,0.00025067655283805834
1970-03-23,0.000236865358333338
1970-03-24,0.00023424703651153678
1970-03-25,0.000236865358333338
1970-03-26,0.000240976391395753
1970-03-27,
1970-03-30,0.00024321698680918047
1970-03-31,0.0002454563231495399
1970-04-01,0.00024396357208300579
1970-04-02,0.00024433681227487014
1970-04-03,0.00024471001751225074
1970-04-06,0.00024582942356277115
1970-04-07,0.00024769440183414204
1970-04-08,0.0002473214759972642
1970-04-09,0.0002454563231495399
1970-04-10,0.00024471001751225074
1970-04-13,0.00024396357208300579
1970-04-14,0.00024321698680918047
1970-04-15,0.0002454563231495399
1970-04-16,0.00024620248904749786
1970-04-17,0.00024620248904749786
1970-04-20,0.00024918575629162554
1970-04-21,0.00025142174202552603
1970-04-22,0.0002588659798488102
1970-04-23,0.00025291170248964434
1970-04-24,0.00025365647387065593
1970-04-27,0.0002555177935927855
1970-04-28,0.0002670386119782986
1970-04-29,0.0002651826667614543
1970-04-30,0.00026592514857304295
1970-05-01,0.00026258289049496675
1970-05-04,0.0002651826667614543
1970-05-05,0.00027186002829160394
1970-05-06,0.0002651826667614543
1970-05-07,0.0002551455991914864
1970-05-08,0.00025216679189199454
1970-05-11,0.0002588659798488102
1970-05-12,0.00026555392495897223
1970-05-13,0.0002618397856553045
1970-05-14,0.0002596096393712166
1970-05-15,0.0002596096393712166
1970-05-18,0.0002566341682712636
