date,Dynamic Strategy,60/40 Benchmark
1971,0.07691794685199893,0.14296084991092983
1972,0.11480106217792252,0.08752406015008773
1973,0.14684479330572708,-0.11663502419736105
1974,0.16692307692307717,-0.16987733463239585
1975,-0.048450818547259855,0.1503301878640355
1976,0.3055308704780073,0.1749627386247783
1977,-0.013406351002452244,-0.07789674335389407
1978,0.15945847284262715,0.016703923211737637
1979,0.06905615569152523,0.11980048424534129
1980,0.07387543816622433,0.0840892513269289
1981,-0.017044777865261374,-0.07760303813938485
1982,0.49790741699687113,0.19845801415217568
1983,0.10332734343705119,0.10561396195149775
1984,0.22081585810525572,0.10650013195185326
1985,0.11477216071595686,0.22100734987156767
1986,0.09288073740588554,0.20123413233002196
1987,0.044178335680434166,-0.02052035018711884
1988,0.0009558918183745213,0.08659390649638787
1989,0.017538937023557688,0.25090855737429507
1990,0.08890513104981634,-0.0026116437528181935
1991,0.1272571762214254,0.21633732150351004
1992,0.09872548145085314,0.0740596014161703
1993,0.0939930405272249,0.08528078068993161
1994,-0.04625592811675405,-0.04161770013778343
1995,0.10947623698946374,0.2893143329833978
1996,0.03655623046639378,0.14094962641120845
1997,0.20668701538279555,0.21924587257455364
1998,0.09127776940399301,0.1572847781519895
1999,-0.018167357996674127,0.0912020914631424
2000,0.08357584838716825,-0.001993580598721234
2001,-0.0004935248654627244,-0.02816195846624925
2002,-0.1508024574576753,-0.08427265628132008
2003,0.04343951208228192,0.10296833808113415
2004,0.11048074313613432,0.07276109300496669
2005,-0.014709187884820674,0.0350478443456852
2006,0.11156222610647126,0.1020209334173412
2007,0.12019448804634547,0.03565483754858634
2008,0.07891862635680535,-0.19757685570809658
2009,0.03218519150171306,0.1371484746666769
2010,0.023735809651212136,0.10545918933961196
2011,0.20345769654484358,0.043570307861964475
2012,0.1617085475229696,0.07731539170025603
2013,0.10512053015106493,0.12324691799158671
2014,0.013570589659723353,0.10800915149899382
2015,0.019890669382787607,0.0055509365088248774
2016,0.06194277279308835,0.06490387338449977
2017,0.06632230102899883,0.10872775724492434
2018,0.10508187358978693,-0.028303141314017455
2019,0.06080573672916523,0.2129518427753061
2020,0.18723782271387535,0.13092698312589102
2021,0.11734196402848451,0.1584557166996936
2022,0.014598920696855533,-0.13531349962353978
2023,0.11481166042168622,0.1767158406859306
2024,0.017007383761407535,0.16136047481489713
